TIME,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
0.5,2.982384655106653,-0.06576078703962243,-0.5722303831920879,-0.43151707292282504,0.7900243940685561,0.31770121559950204,-0.05937055378025727,0.05790752342389956,-0.18373140027791074,0.22407156963701363,-0.08409417254288132,0.06165609201072658,-0.017379734519068546,-0.025651479611684437,0.0037229468774176563,0.028594616388108278,0.05947320345182644,0.01016928328309353,-0.026506330881678086,0.05045490975965943,-0.036124234869808376,-8.234834083909078e-4,0.018853528232746098,-1.5612511283791264e-16
0.5,2.9626522805854005,-0.08606632034447857,-0.5373464406004972,-0.3495654981839481,0.9341550289618481,0.2748197023325524,-0.10257815123853571,0.15427505094283267,-0.3128041774082877,0.1587255657644553,-0.07075606835148955,-0.04593498054939206,0.07165847027337488,-0.03447806482895333,-0.13590258295322621,0.00594380850766027,-0.02327877835677046,0.006528599214172665,-0.004504067067453377,-0.003544880028960362,0.022586171541960888,0.037144267231693257,-0.016031134581983714,-6.245004513516506e-17
0.5,3.0060912017613286,-0.014186970268446092,-0.48929776052138435,-0.4185811460346541,0.6643094852680158,0.13755540678460887,-0.04660482656769592,0.03517109058958959,-0.19468137561603246,0.1414595663941846,-0.07568189889717769,0.018761589385411254,0.11872652518120556,0.03365414914179992,0.055729932439804744,-0.002551205978047845,0.004098223777927734,-0.04114814301396815,0.0014848205844940898,-0.06713403879653487,0.006688886277548149,-0.04374398708990494,0.002256901636726639,-2.8102520310824275e-16
1,2.6194330570523365,2.2440594686517588,1.6346800369806622,-0.21457617212850366,0.4866244060350574,-0.6195360687019436,0.4415448770510214,-0.34111267584894206,-0.18399019980575443,-0.23158950003004952,-0.15036133518698921,-0.022311210649362756,0.007249256039179898,-0.0768702958980813,0.03997372302187178,-0.07919935972628528,-0.06342577656688145,-0.058669441405528745,0.007100515564700385,0.01443626641552568,-0.013690112892093872,0.006879189070911512,0.0021487669834230304,-4.891920202254596e-16
1,2.150682400903116,1.4896782294805289,0.9331716555105505,-0.036479745527412163,0.2622130313494533,-0.9802933664117534,-1.0258754789507363,0.19951534505320168,0.4337158940365185,0.05739910395086864,-0.09309934565287936,-0.02501096543694964,0.03817396653542057,-0.008480474796516195,0.019159737094740878,-6.866564142269729e-4,0.019904532941723715,0.010189263824988757,-0.007353114988576798,0.0052842930900314986,0.00230972775675526,1.7392852430613698e-5,-0.0023607940997232117,-3.8163916471489756e-17
1,2.6607668941779585,2.0370706875681703,1.4410558971643725,-0.11155718012093495,0.41963744028091116,-0.5142573353268698,0.5886161794316003,-0.14589357405884867,0.024760629206183007,0.1369380002905717,0.08601967254012206,0.060389157815218336,-0.166347278938038,0.1464914431921816,-0.003489650418273718,0.0740753594616,0.030825186193414823,0.06787389779271638,0.0036846156675435886,-0.017155752348448645,0.015355501219215636,0.0012241829682286109,-0.0011083846168044977,-3.8207284558389176e-16
2,2.8891396268683214,2.372820509799829,1.1947967911604342,-0.26042544323448596,-0.693009473678795,0.5481973324469689,-0.1013608600270022,0.05084616954810469,0.053679232783614916,-0.009101636782186381,0.1617626760040162,0.014649282262066786,0.050724410427106084,0.015534354523602259,0.003912706551097328,-0.02610806409584563,0.04076905308008381,-0.008057981779150495,-0.005422574923409286,-0.04940301824947787,-0.04537199335905403,0.030992011306271657,3.150288825843374e-4,-2.8449465006019636e-16
2,2.804208370416502,2.191757071328061,0.890267636564257,-0.25225140236214294,-0.7915417996567573,0.5389461459838136,-0.19882166077865862,-0.058385526479882724,-0.1279974181377001,0.013595025794398178,-0.04634332447808016,-0.05552601860016623,0.10665166330242977,0.01039035239987027,0.06960327793521212,0.0696541389574519,-0.03268107218529095,0.002354036081985098,0.05185074846128279,0.020816092628738393,0.04233653497863734,0.006968139592868724,0.013547691052412202,-3.3859633846722303e-16
2,2.972478190759964,2.2422946907806245,1.3257359953419772,-0.21031351415773283,-0.6930306162038353,0.4776213799550462,0.009911836279278944,0.22358196466760183,-0.09376844313416982,-0.008489179747756967,0.003683525062255586,0.008057373048154117,-0.10074925140172666,-0.11525596003336543,-0.0913760468041542,-0.01773446520958892,0.023404754295361242,-0.0025662719979081886,-0.030197872953854364,0.02743878245913363,0.004639631842446281,-0.03895580836864175,-0.014315793848121917,-1.249000902703301e-16
4,2.764142296413509,-0.7320697181833239,-1.2441833805219362,-0.7378605035487716,0.2341343545051442,0.1949304139892404,0.1967853577273082,-0.25856987147832206,0.22456285338475496,-0.37899297349928607,-0.05097781598259113,0.014264769281334102,0.11401091451832729,-0.09625029366958074,0.09142668228051715,0.04339814312715294,0.03753168889701824,0.07875431030406745,0.02343571589154235,0.006859542939426637,-0.010843494292548148,-0.004721228086431446,-0.01229916566494587,-2.0816681711721685e-17
